Time, Value
17:35:39, -13
17:35:39, 52
17:35:39, 58
17:35:39, -3
17:35:39, -61
17:35:39, -97
17:35:39, -105
17:35:39, -57
17:35:39, 2
17:35:39, 4
17:35:39, -36
17:35:39, -56
17:35:39, -65
17:35:39, -73
17:35:39, -60
17:35:39, -43
17:35:39, -34
17:35:39, -11
17:35:39, 5
17:35:39, 7
17:35:39, -5
17:35:39, -39
17:35:39, -65
17:35:39, -73
17:35:39, -65
17:35:39, -33
17:35:39, -20
17:35:39, -25
17:35:39, -34
17:35:39, -56
17:35:39, -87
17:35:39, -91
17:35:39, -84
17:35:39, -88
17:35:39, -72
17:35:39, 0
17:35:39, 69
17:35:39, 57
17:35:39, 7
17:35:39, -45
17:35:39, -87
17:35:39, -68
17:35:39, 40
17:35:39, 139
17:35:39, 104
17:35:39, -8
17:35:39, -35
17:35:39, 60
17:35:39, 155
17:35:39, 151
17:35:39, 128
17:35:39, 114
17:35:39, 152
17:35:39, 204
17:35:39, 248
17:35:39, 280
17:35:39, 268
17:35:39, 243
17:35:39, 268
17:35:39, 325
17:35:39, 339
17:35:39, 355
17:35:39, 405
17:35:39, 451
17:35:39, 488
17:35:39, 486
17:35:39, 464
17:35:39, 403
17:35:39, 370
17:35:39, 423
17:35:39, 472
17:35:39, 473
17:35:39, 397
17:35:39, 294
17:35:39, 241
17:35:39, 274
17:35:39, 358
17:35:39, 395
17:35:39, 389
17:35:39, 401
17:35:39, 380
17:35:39, 340
17:35:39, 295
17:35:39, 256
17:35:39, 185
17:35:39, 180
17:35:39, 256
17:35:39, 283
17:35:39, 248
17:35:39, 230
17:35:39, 257
17:35:39, 256
17:35:39, 221
17:35:39, 224
17:35:39, 261
17:35:39, 230
17:35:39, 112
17:35:39, -13
17:35:39, -81
17:35:39, -133
17:35:39, -158
17:35:39, -141
17:35:39, -124
17:35:39, -151
17:35:39, -169
17:35:39, -156
17:35:39, -156
17:35:39, -150
17:35:39, -164
17:35:39, -202
17:35:39, -214
17:35:39, -200
17:35:39, -184
17:35:39, -170
17:35:39, -148
17:35:39, -139
17:35:39, -197
17:35:39, -291
17:35:39, -257
17:35:39, -133
17:35:39, -53
17:35:39, -70
17:35:39, -165
17:35:39, -262
17:35:39, -243
17:35:39, -211
17:35:39, -211
17:35:39, -215
17:35:39, -227
17:35:39, -258
17:35:39, -269
17:35:39, -263
17:35:39, -241
17:35:39, -245
17:35:39, -262
17:35:39, -307
17:35:39, -316
17:35:39, -281
17:35:39, -275
17:35:39, -305
17:35:39, -321
17:35:39, -347
17:35:39, -410
17:35:39, -397
17:35:39, -334
17:35:39, -296
17:35:39, -317
17:35:39, -307
17:35:39, -280
17:35:39, -301
17:35:39, -322
17:35:39, -278
17:35:39, -245
17:35:39, -292
17:35:39, -340
17:35:39, -285
17:35:39, -218
17:35:39, -237
17:35:39, -281
17:35:39, -338
17:35:39, -349
17:35:39, -300
17:35:39, -276
17:35:39, -318
17:35:39, -372
17:35:39, -391
17:35:39, -358
17:35:39, -343
17:35:39, -365
17:35:39, -358
17:35:39, -339
17:35:39, -363
17:35:39, -345
17:35:39, -284
17:35:39, -260
17:35:39, -276
17:35:39, -268
17:35:39, -247
17:35:39, -264
17:35:39, -300
17:35:39, -277
17:35:39, -216
17:35:39, -230
17:35:39, -318
17:35:39, -363
17:35:39, -308
17:35:39, -277
17:35:39, -280
17:35:39, -267
17:35:39, -219
17:35:39, -186
17:35:39, -228
17:35:39, -267
17:35:39, -263
17:35:39, -217
17:35:39, -184
17:35:39, -153
17:35:39, -115
17:35:39, -110
17:35:39, -148
17:35:39, -180
17:35:39, -194
17:35:39, -187
17:35:39, -156
17:35:39, -148
17:35:39, -217
17:35:39, -258
17:35:39, -229
17:35:39, -166
17:35:39, -117
17:35:39, -87
17:35:39, -53
17:35:39, -11
17:35:39, 36
17:35:39, 64
17:35:39, 41
17:35:39, 18
17:35:39, 36
17:35:39, 45
17:35:39, 7
17:35:39, -25
17:35:39, -18
17:35:39, 18
17:35:39, 53
17:35:39, -13
17:35:39, -106
17:35:39, -87
17:35:39, -13
17:35:39, 41
17:35:39, 44
17:35:39, 39
17:35:39, 87
17:35:39, 114
17:35:39, 122
17:35:39, 161
17:35:39, 164
17:35:39, 91
17:35:39, 34
17:35:39, 80
17:35:39, 178
17:35:39, 200
17:35:39, 137
17:35:39, 93
17:35:39, 125
17:35:39, 170
17:35:39, 193
17:35:39, 196
17:35:39, 198
17:35:39, 197
17:35:39, 218
17:35:39, 231
17:35:39, 214
17:35:39, 210
17:35:39, 257
17:35:39, 341
17:35:39, 403
17:35:39, 436
17:35:39, 475
17:35:39, 537
17:35:39, 536
17:35:39, 472
17:35:39, 442
17:35:39, 481
17:35:39, 536
17:35:39, 580
17:35:39, 581
17:35:39, 544
17:35:39, 508
17:35:39, 508
17:35:39, 531
17:35:39, 568
17:35:39, 536
17:35:39, 453
17:35:39, 394
17:35:39, 373
17:35:39, 360
17:35:39, 316
17:35:39, 248
17:35:39, 215
17:35:39, 246
17:35:39, 279
17:35:39, 291
17:35:39, 309
17:35:39, 329
17:35:39, 328
17:35:39, 296
17:35:39, 279
17:35:39, 290
17:35:39, 294
17:35:39, 298
17:35:39, 276
17:35:39, 218
17:35:39, 149
17:35:39, 107
17:35:39, 76
17:35:39, 49
17:35:39, 38
17:35:39, 58
17:35:39, 43
17:35:39, 7
17:35:39, 10
17:35:39, 13
17:35:39, 16
17:35:39, 40
17:35:39, 72
17:35:39, 83
17:35:39, 42
17:35:39, -28
17:35:39, -85
17:35:39, -91
17:35:39, -94
17:35:39, -123
17:35:39, -119
17:35:39, -74
17:35:39, -62
17:35:39, -114
17:35:39, -177
17:35:39, -154
17:35:39, -97
17:35:39, -60
17:35:39, -54
17:35:39, -54
17:35:39, -74
17:35:39, -101
17:35:39, -140
17:35:39, -166
17:35:39, -168
17:35:39, -164
17:35:39, -148
17:35:39, -113
17:35:39, -86
17:35:39, -105
17:35:39, -131
17:35:39, -122
17:35:39, -83
17:35:39, -43
17:35:39, -24
17:35:39, -41
17:35:39, -101
17:35:39, -161
17:35:39, -154
17:35:39, -102
17:35:39, -55
17:35:39, -52
17:35:39, -75
17:35:39, -93
17:35:39, -83
17:35:39, -56
17:35:39, -33
17:35:39, 3
17:35:39, 54
17:35:39, 66
17:35:39, 49
17:35:39, 44
17:35:39, 49
17:35:39, 39
17:35:39, 38
17:35:39, 27
17:35:39, 19
17:35:39, 17
17:35:39, 10
17:35:39, 43
17:35:39, 66
17:35:39, 38
17:35:39, 27
17:35:39, 42
17:35:39, 91
17:35:39, 154
17:35:39, 179
17:35:39, 167
17:35:39, 129
17:35:39, 117
17:35:39, 166
17:35:39, 201
17:35:39, 200
17:35:39, 183
17:35:39, 170
17:35:39, 189
17:35:39, 213
17:35:39, 229
17:35:39, 221
17:35:39, 226
17:35:39, 214
17:35:39, 184
17:35:39, 179
17:35:39, 216
17:35:39, 276
17:35:39, 326
17:35:39, 352
17:35:39, 331
17:35:39, 314
17:35:39, 346
17:35:39, 412
17:35:39, 472
17:35:39, 489
17:35:39, 466
17:35:39, 440
17:35:39, 474
17:35:39, 538
17:35:39, 584
17:35:39, 599
17:35:39, 610
17:35:39, 646
17:35:39, 642
17:35:39, 594
17:35:39, 584
17:35:39, 592
17:35:39, 596
17:35:39, 593
